,7/17/2021,Number of statements,No. of  iterations in outer,No. of  iterations in inner,No. of statements in outer ,No. of statements in inner,Number of loops,levels of nested loops,total  iterations ,# of Complex Variables,CC*,function calls,branches ,SWPP,Number of inputs,Number of outputs,Sizes of input data (byte),Sizes of output data (byte),No. 0f iterations* statement inner,repeating time,Ajusted execution time,execution time
1,Autocorrelation - Data1 (pulse),0,0.00012153,0.007936508,0.096774194,0,0,0.5,0.000374233,0,0.064516129,0,0,1,0.1,0,0,0.001065152,3.83661E-05,150,76350,509
2,Autocorrelation - Data2 (sine),0,0.000260421,0.847117794,0.096774194,0,0,0.5,0.06276693,0,0.064516129,0,0,1,0.1,0,0.105175292,0.002485354,0.006970839,2,98386,49193
3,Autocorrelation - Data3 (speech),0,0.000538204,0.40267335,0.096774194,0,0,0.5,0.059865662,0,0.064516129,0,0,1,0.1,0,0.050500835,0.005325759,0.006648478,1,47297,47297
4,Convolutional Encoder - Data1 (xk5r2dt),0.049382716,0.017760725,0.001670844,0.161290323,0.020833333,0.25,1,0.019741741,0,0.129032258,0,0.333333333,1,0.4,0,0.051752922,0.090537902,0.003287695,1,42014,42014
5,Convolutional Encoder - Data2 (xk4r2dt),0.049382716,0.017760725,0.000835422,0.161290323,0.020833333,0.25,1,0.015791078,0,0.129032258,0,0.333333333,1,0.4,0,0.051752922,0.090537902,0.002629256,1,41501,41501
6,Convolutional Encoder - Data3 (xk3r2dt),0.049382716,0.017760725,0,0.161290323,0.020833333,0.25,1,0.011840415,0,0.129032258,0,0.333333333,1,0.4,0,0.051752922,0.090537902,0.001970816,1,40297,40297
7,Fixed-point Bit Allocation - Data2 (typ),0.074074074,0.001371552,0.211361738,0.129032258,0.1875,0,0.5,0.079001686,0,0.193548387,0,1,1,0.5,0,0.025041736,0.045091426,0.048281039,1,159448,159448
8,Fixed-point Bit Allocation - Data3 (step),0.074074074,0.001197937,0.014202172,0.129032258,0.1875,0,0.5,0.005389723,0,0.193548387,0,1,1,0.5,0,0.000417362,0.003195455,0.003296268,1,20968,20968
9,Fixed Point Bit Allocation - Data6 (pent),0.074074074,0.002239622,0.081035923,0.129032258,0.1875,0,0.5,0.050143327,0,0.193548387,0,1,1,0.5,0,0.008764608,0.017397479,0.0306455,1,114856,114856
10,FFT/IFFT - Data1 (pulse),0.104938272,0.00012153,0.291562239,0.161290323,0.25,0.25,1,0.010848891,0,0.129032258,0,0,0,0.1,0.5,0.212020033,0.976034085,0.008442468,2,90436,45218
11,FFT/IFFT - Data2 (spn),0.104938272,0.00012153,0.291562239,0.161290323,0.25,0.25,1,0.010848891,0,0.129032258,0,0,0,0.1,0.5,0.261790484,1,0.008442468,2,90436,45218
12,FFT/IFFT - Data3 (sine),0.104938272,0.00012153,0.291562239,0.161290323,0.25,0.25,1,0.010848891,0,0.129032258,0,0,0,0.1,0.5,0.281823873,0.62968223,0.008442468,2,90436,45218
13,Viterbi Decoder - Data1 (get),1,0.000711818,0.104427736,0.290322581,0.958333333,0.25,0.5,0.020729407,0,0.516129032,0.727272727,1,0,0,0,0.12312187,0.211965205,0.05530439,1,233467,233467
14,Viterbi Decoder - Data2 (toggle),1,0.000711818,0.104427736,0.290322581,0.958333333,0.25,0.5,0.020729407,0,0.516129032,0.727272727,1,0,0,0,0.218384808,0.374045802,0.05530439,1,233478,233478
15,Viterbi Decoder - Data3 (ones) ,1,0.000711818,0.104427736,0.290322581,0.958333333,0.25,0.5,0.020729407,0,0.516129032,0.727272727,1,0,0,0,0.210559265,0.360731404,0.05530439,1,233483,233483
16,Viterbi Decoder - Data4 (zeros),1,0.000711818,0.104427736,0.290322581,0.958333333,0.25,0.5,0.020729407,0,0.516129032,0.727272727,1,0,0,0,0.24822621,0.424818037,0.05530439,1,233483,233483
17,FLT_filterAP_fx,0.037037037,0.002934079,0.005012531,0.258064516,0.020833333,0,0.5,0.005891272,0,0.064516129,0,0,1,0.3,0.5,0.073873122,0.000355051,0.0009793,40,127880,3197
18,LPC_Chebps_fx,0.067901235,0,0,0.258064516,0.104166667,0,0,0,0,0,0,0,0,0.2,0,0,0,0,1000,56000,56
19,LPC_autocorrelation_fx,0.024691358,0.000277783,0.197994987,0.096774194,0,0,0.5,0.015729349,0,0.096774194,0.181818182,0,1,0.4,0,0.063230384,0.00568081,0.001744478,20,159300,7965
20,FCS_Excit_Enhance_fx,0.160493827,0.001371552,0.014202172,0.032258065,0.083333333,0.5,0.5,0.006161337,0,0.35483871,0.090909091,0,1,0.7,0,0.039858097,0.060003551,0.002053121,4,51428,12857
21,LSF_Q_New_ML_search_fx,0.154320988,0.019982986,0.005847953,0.451612903,0.041666667,1,1,0.044433385,0,1,0,1,1,1,1,0.300918197,0.067104562,0.009872087,1,45729,45729
22,c_fft_fx,0.179012346,8.68071E-05,0.117794486,0.129032258,0.166666667,0.25,1,0.003321798,0,0.129032258,0,0.333333333,0,0.2,0,0.051752922,0.045091426,0.001847359,25,264125,10565
